node_name,node_type,node_position,parent,weight
abseil/abseil-cpp,repo,408.8073944661271|-809.043736080099|588.8116918560704,,6.27
derekmauro,developer,271.4605087845323|-902.3464141809962|886.0074430785261,abseil/abseil-cpp,11.71
niranjan-nilakantan,developer,110.82600445026839|-1016.1650335608866|645.6148909050373,abseil/abseil-cpp,8.39
h-vetinari,developer,395.8127235705858|-594.9453951983471|362.176154456475,abseil/abseil-cpp,3.73
juergbi,developer,682.0299110987171|-976.6155369006002|583.6252339982884,abseil/abseil-cpp,4.73
wenshan1,developer,309.2522445819034|-881.9936278083002|733.7277286280736,abseil/abseil-cpp,3
Vertexwahn,developer,413.4897636100203|-912.7600600296691|562.2917754479691,abseil/abseil-cpp,2.65
johnnkp,developer,371.8781190372289|-618.9845459151009|402.2343496306312,abseil/abseil-cpp,2.65
Romain-Geissler-1A,developer,406.416974407212|-964.6932594933235|316.5021877736295,abseil/abseil-cpp,2.45
glandium,developer,452.2613592631228|-728.4250010133437|468.92143667394373,abseil/abseil-cpp,1.73
anpol,developer,397.2099489291694|-711.4405170064877|522.5388727922079,abseil/abseil-cpp,2.45
traversaro,developer,361.95601830367116|-625.3238901686047|397.6563393298674,abseil/abseil-cpp,2.45
emezeske,developer,654.5180904796573|-930.3822299631528|586.1147989546776,abseil/abseil-cpp,2.41
bebuch,developer,652.0595506702387|-654.4535006986355|412.20205330612976,abseil/abseil-cpp,2.24
mkruskal-google,developer,375.67499900504345|-566.1571329423741|868.4993489008201,abseil/abseil-cpp,2.24
pateldeev,developer,219.73398302434896|-605.8499233239343|318.16597769011,abseil/abseil-cpp,2.24
daschuer,developer,492.6203846081593|-576.1544420252359|709.6077365229601,abseil/abseil-cpp,2.24
ryandesign,developer,686.7112493413217|-577.6972400843016|433.9907788814677,abseil/abseil-cpp,1.73
stanhu,developer,688.5507175352949|-692.2800546928405|389.9151440847551,abseil/abseil-cpp,10.73
Mizux,developer,429.4710720364811|-528.226285847296|326.26852775582387,abseil/abseil-cpp,2
MrJia1997,developer,128.30891288270936|-512.3374131294726|564.3005253695198,abseil/abseil-cpp,2
Exactlywb,developer,303.32310694409824|-670.3165949427597|886.2060622220145,abseil/abseil-cpp,1.73
jnooree,developer,676.4518514271886|-744.1091353407679|686.3011699914063,abseil/abseil-cpp,1.73
JiachengLiang,developer,590.03974101509|-1104.9921923611728|364.24102172442895,abseil/abseil-cpp,1.73
LucienRochery,developer,507.84190329919704|-1108.3830877484686|411.4323319332209,abseil/abseil-cpp,1.73
wony-zheng,developer,622.5390830459825|-885.8155927787382|857.1719247741452,abseil/abseil-cpp,1.73
dinord,developer,656.8152252834486|-1021.7368707322094|695.6567087552346,abseil/abseil-cpp,1.73
kuszmaul,developer,350.22607128883936|-746.8632663046803|301.11262899526616,abseil/abseil-cpp,1.73
HustCoderHu,developer,576.1203218855594|-517.4839737963097|330.4290234277588,abseil/abseil-cpp,1.41
Baiyuetribe,developer,196.20857548096|-858.7023515444585|503.2615458488233,abseil/abseil-cpp,1.41
cmannett85,developer,685.4303072706407|-950.4977320990433|752.7972558672084,abseil/abseil-cpp,1.41
ajaxorg/ace,repo,104.39967217619437|1016.8833258117934|1446.225814171452,,9.45
akoreman,developer,396.55326670302793|929.1112094716595|1598.3234474539904,ajaxorg/ace,23.69
nightwing,developer,281.8492544336209|843.2148626530352|1600.8065662877948,ajaxorg/ace,17.23
mkslanc,developer,13.76342766965297|1241.3221586417644|1494.1366246857224,ajaxorg/ace,13.6
oykuyilmaz,developer,56.71881386599017|737.9045838191246|1344.806245764395,ajaxorg/ace,13.16
InspiredGuy,developer,-53.46826913672908|1245.6883956437987|1344.4514932761547,ajaxorg/ace,11.37
whazor,developer,-174.33038611160555|1182.0185851108015|1264.6973336799651,ajaxorg/ace,9.96
ibabanov-aws,developer,-97.04205206826111|1236.822375259285|1647.6318850751834,ajaxorg/ace,8.83
MrRjx,developer,-55.22460139039157|1200.2353583109273|1330.3415896671113,ajaxorg/ace,4.47
azmkercso,developer,198.56350786662898|948.368934409282|1386.1451156106698,ajaxorg/ace,4.24
NotLazy,developer,93.72588597150656|1254.9178308658911|1219.0848880574902,ajaxorg/ace,3.61
legendSabbir,developer,348.47406638328664|1000.3381328160963|1431.4658814452764,ajaxorg/ace,3
konojack,developer,-42.39420594433264|1062.688357613231|1341.3691063630613,ajaxorg/ace,3
user8446,developer,-31.50288897103121|1203.2847680399698|1454.3915504476333,ajaxorg/ace,4.65
andredcoliveira,developer,366.93710560581826|812.9457138359274|1504.0727350849877,ajaxorg/ace,3
marinsokol5,developer,-19.32458517081298|1036.0890335380213|1172.2084505630537,ajaxorg/ace,2.83
aprex,developer,35.58732843648531|1271.4065995791193|1235.4001697147216,ajaxorg/ace,2.83
deadlyjack,developer,294.78569390746827|1302.498908251925|1450.5155822733905,ajaxorg/ace,2.45
jmc420,developer,187.21904961330802|878.3867342362504|1652.6656071360198,ajaxorg/ace,2.45
skazantsev,developer,368.1760386497317|1052.1918396704068|1151.4072834744318,ajaxorg/ace,2.45
alex-swiftify,developer,397.20949029843916|921.8475942135381|1260.3972289118599,ajaxorg/ace,2.45
shaunlebron,developer,6.980993335009998|1048.251701257411|1359.9572979785394,ajaxorg/ace,2.45
Micha-he,developer,-164.50882193912395|1209.2692952616812|1389.8210742803553,ajaxorg/ace,2.41
MarketingPip,developer,155.22880692815676|1150.2625809509095|1253.4686006509157,ajaxorg/ace,2.41
dimovpetar,developer,6.503788860482757|1206.4895274880737|1432.0659423354778,ajaxorg/ace,2.41
vanillajonathan,developer,-86.91450734430924|1271.4589609360814|1416.8343197475306,ajaxorg/ace,2.83
cobyj33,developer,154.8979959171533|1126.075462184695|1513.2545779452594,ajaxorg/ace,2.24
bhagyajkumar,developer,-162.25053098433955|1018.7939016289095|1386.908710485054,ajaxorg/ace,2.24
laytan,developer,102.23876705193106|1174.6861764118564|1273.4250089449465,ajaxorg/ace,2.24
remco-pc,developer,393.2159184329503|802.1330780496463|1161.1424551954397,ajaxorg/ace,2.24
wlodi83,developer,-132.7848138015534|1291.9313249950503|1296.650206248776,ajaxorg/ace,2.24
akvo/akvo-rsr,repo,717.9395605053|638.230967673283|-1209.8510202492985,,0.92
zuhdil,developer,987.9651053256625|701.9411004606998|-1311.098877463612,akvo/akvo-rsr,13.38
coveralls,developer,426.53804161719216|714.8308616480978|-1387.106143215748,akvo/akvo-rsr,2.83
anjarakvo,developer,854.7453579187084|636.74534335554|-1148.2350641609419,akvo/akvo-rsr,2.24
ifirmawan,developer,859.4522293165442|441.965454179138|-1447.7886987800068,akvo/akvo-rsr,1.41
angular/components,repo,1313.9695584096366|1284.777572783879|839.9977341792905,,70.6
crisbeto,developer,1198.8805296491826|1072.2902648286354|773.0429425882662,angular/components,51.62
mmalerba,developer,1608.061551129812|1058.383110129987|1076.1031716164052,angular/components,27.12
wagnermaciel,developer,1534.621703226805|1104.8735568701063|735.3012325737113,angular/components,26.25
zarend,developer,1329.3463934177598|1019.6562913773257|729.1768263923625,angular/components,22.22
andrewseguin,developer,1379.0981756978315|1149.2671418099183|853.1963343853689,angular/components,18.88
aanchal88,developer,1023.712624577277|1299.0828921180262|919.5468779116627,angular/components,16.99
amysorto,developer,1220.744151390424|1565.3712781264378|997.420904870161,angular/components,16.62
Naaajii,developer,1345.9094395219506|1354.2685842299973|1010.9823698331461,angular/components,15.83
devversion,developer,1562.9652526912032|1461.2063204330275|941.8896189799834,angular/components,15.53
behzadmehrabi,developer,1422.4718719810126|1556.7613267555955|707.3678336126259,angular/components,12.66
angular-robot,developer,1225.8251317129982|1176.7197853195987|1077.3346136691994,angular/components,11.12
jelbourn,developer,1123.0305904033169|1040.6652321527629|627.9636074050654,angular/components,9.68
alkavats1,developer,1253.4800899993402|1156.659341037779|623.7887845445161,angular/components,8.07
