reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
abseil/abseil-cpp,derekmauro,niranjan-nilakantan,h-vetinari,juergbi,wenshan1,Vertexwahn,johnnkp,Romain-Geissler-1A,glandium,anpol,traversaro,emezeske,bebuch,mkruskal-google,pateldeev,daschuer,ryandesign,stanhu,Mizux,MrJia1997,Exactlywb,jnooree,JiachengLiang,LucienRochery,wony-zheng,dinord,kuszmaul,HustCoderHu,Baiyuetribe,cmannett85
ajaxorg/ace,akoreman,nightwing,mkslanc,oykuyilmaz,InspiredGuy,whazor,ibabanov-aws,MrRjx,azmkercso,NotLazy,legendSabbir,konojack,user8446,andredcoliveira,marinsokol5,aprex,deadlyjack,jmc420,skazantsev,alex-swiftify,shaunlebron,Micha-he,MarketingPip,dimovpetar,vanillajonathan,cobyj33,bhagyajkumar,laytan,remco-pc,wlodi83
akvo/akvo-rsr,zuhdil,coveralls,anjarakvo,ifirmawan,,,,,,,,,,,,,,,,,,,,,,,,,,
angular/components,crisbeto,mmalerba,wagnermaciel,zarend,andrewseguin,aanchal88,amysorto,Naaajii,devversion,behzadmehrabi,angular-robot,jelbourn,alkavats1,amakhrov,BobobUnicorn,michaelfaith,fireflysemantics,robertIsaac,nishchay7pixels,SaishNarvekar,iKrishnaSahu,josephperrott,LayZeeDK,AlixRoyere,wartab,raysuelzer,kvizcarra,spike-rabbit,liesahead,Nomackleo
ansible/ansible,mattclay,ansibot,s-hertel,bcoca,sivel,webknjaz,Akasurde,mkrizek,felixfontein,samccann,nitzmahone,oraNod,jborean93,flowerysong,vaygr,gotmax23,sbettid,anweshadas,toydarian,mariolenz,eversonleal,JaroslavKlech,theunkn0wn1,AlanCoding,Aysha-py,Zocker1999NET,riadhhamdi,ari75,ErikJiang,n2N8Z
Anuken/Mindustry,Anuken,MEEPofFaith,Darkness6030,BalaM314,way-zer,phinner,SSTentacleSS,Yoru-Kitsune,Otamamori917,Slotterleet,JniTrRny,bend-n,buthed010203,SITUVNgcd,stacktrace-error,rekokoro,Mythril382,camelStyleUser,Lime712,frieda666,3Snake3,Phippe,Agzam-Ar,Kieaer,JasperChaseTOQ,thedimas3007,HamzaGSopp,tech3mi,BeDanGames,Shawak
apache/accumulo,keith-turner,dlmarion,ctubbsii,cshannon,EdColeman,DomGarguilo,ddanielr,ivakegg,Manno15,jmark99,jschmidt10,cawaring,FineAndDandy,alerman,hlgp,AlbertWhitlock,keith-ratcliffe,dtspence,avgAGB,,,,,,,,,,,
apache/airflow,potiuk,uranusjr,jedcunningham,eladkal,dstandish,hussein-awala,vandonr-amz,vincbeck,pankajkoti,ferruzzi,ephraimbuddy,o-nikolas,amoghrajesh,phanikumv,utkarsharma2,Adaverse,syedahsn,Lee-W,pankajastro,mobuchowski,pierrejeambrun,bbovenzi,sunank200,JDarDagran,jens-scheffler-bosch,VladaZakharova,moiseenkov,tirkarthi,shahar1,Owen-CH-Leung
apache/avro,martin-g,clesaec,kojiromike,ftelnov,RyanSkraba,alexrosenfeld10,jychen7,sarutak,jklamer,aiven-anton,subhashb,mparry,RikHeijdens,dervan,nryanov,zcsizmadia,opwvhk,peter-formlogic,nielsbasjes,peknu,steven-aerts,tjwp,andrewinci,akshat0395,snuyanzin,asosnovsky,xuwenlong02,edoardocostantinidev,MarkPaxton,piotaixr
apache/camel,orpiske,davsclaus,essobedo,oscerd,ppalaga,ammachado,jamesnetherton,Croway,onderson,coheigea,EvanMi,hamed-hatami,gilvansfilho,JiriOndrusek,christophd,sekikn,LostArtist,igarashitm,apupier,alex-nt,hboutemy,sdurrenmatt,grgrzybek,marcingrzejszczak,llowinge,VaishnaviR18,jacekszymanski,claudio4j,mcarlett,rhuan080
