reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
aasm/aasm,YJorge,y-yagi,kranzky,swrobel,deepakmahakale,KirtashW17,revh,MrRTi,vnazarenko,vc68676667,GabrielLima1,uj83488536,ChandanChainani,tagliala,mohamedrez,adipasquale,RodrigoMNardi,kbighorse,,,,,,,,,,,,
abraham/twitteroauth,abraham,tsaneyoshi,williamsdb,mauriblint,Valgaav1983,rahatcse5bu,chayaneng,MirShaon,marcpre,Jamezz5o9,RailtonSantos,ldunphyAK,YoannBuzenet,CpHeat,qcybb,chon27,jintor,szepeviktor,DougSisk,zloj-ru,robinbhatt4,funxiun,ho77iday,davidenco,larsjanssen6,mpruy,hluaces,kesavanm,axsaucedo,boris-glumpler
abseil/abseil-cpp,derekmauro,niranjan-nilakantan,h-vetinari,juergbi,wenshan1,Vertexwahn,johnnkp,Romain-Geissler-1A,glandium,anpol,traversaro,emezeske,bebuch,mkruskal-google,pateldeev,daschuer,ryandesign,stanhu,Mizux,MrJia1997,Exactlywb,jnooree,JiachengLiang,LucienRochery,wony-zheng,dinord,kuszmaul,HustCoderHu,Baiyuetribe,cmannett85
activeadmin/activeadmin,javierjulio,tagliala,Aesthetikx,carlottostromstedt,Fire-Dragon-DoL,allomov,rs-phunt,hfl,godfreymutebi,moneil868,rogerkk,Joebonesthefig,69camau,Fs00,senid231,megos,maca,tvziet,securityncompliance,mamirad,od-c0d3r,rabendrasharma,yash2411,andreacasarin,javawizard,lanzhiheng,djolereject,timwis,bliof,rangerscience
activemerchant/active/merchant,almalee24,aenand,rachelkirk,BritneyS,jcreiff,jherreraa,Heavyblade,javierpedrozaing,yunnydang,bbraschi,naashton,curiousepic,khoinguyendeepstack,dario-javier-rick,mchargify,sinourain,britth,pi3r,alejandrofloresm,mashton,steveh,kylene-spreedly,wikiti,m-ocana,EsporaInfra,gasb150,espen,mexpadmar,nicolas-maalouf-cko,
adafruit/RTClib,andrewbierer,MR-XieXuan,edgar-bonet,Fishbone69,Pixxelfragger,resterampeberlin,73-de-LZ,OziPhil,exipilis,caternuson,,,,,,,,,,,,,,,,,,,,
AdiAddons/AdiBags,Cidan,SpareSimian,Talyrius,GirlPlays,bloerwald,Milky063,holymio,putladin,Sharandra,stornquist,rickvdwetering,XtroTheArctic,doublej42,Neipas09,Squimbert,WhiskeyBravoHotel,astrophel17,Kaoskitty,EvilMerc,GnomeTW,Kirrawr,SlanDF,jkemouse11,d4kir92,Weirdei,KevinFelix,dbspringer,Tealc-1899,Hinkyz,stingah
aheckmann/gm,aheckmann,agokhale,aarongarciah,bababax11,Yoha485,LongTengDao,delesseps,PatrykMiszczak,DetectiveFalcon,,,,,,,,,,,,,,,,,,,,,
ajaxorg/ace,akoreman,nightwing,mkslanc,oykuyilmaz,InspiredGuy,whazor,ibabanov-aws,MrRjx,azmkercso,NotLazy,legendSabbir,konojack,user8446,andredcoliveira,marinsokol5,aprex,deadlyjack,jmc420,skazantsev,alex-swiftify,shaunlebron,Micha-he,MarketingPip,dimovpetar,vanillajonathan,cobyj33,bhagyajkumar,laytan,remco-pc,wlodi83
ajenti/ajenti,kiarn,acsvln,beigeninja,veshwa,BEMZ01,HuongNV96,Mihaidev-cloud,afidegnum,Joly0,leni8ec,Leci37,Alexiy199,Zacharieg,,,,,,,,,,,,,,,,,
